data,symbol,open,close,high,low,volume
1605225600,ADA_USDT,0.104553,0.106296,0.107928,0.10398,5740717.24
1605312000,ADA_USDT,0.106296,0.103977,0.107182,0.101414,5343201.13
1605398400,ADA_USDT,0.103977,0.100508,0.105197,0.098465,5730484.37
1605484800,ADA_USDT,0.100508,0.103802,0.104934,0.099454,5408265.73
1605571200,ADA_USDT,0.103802,0.109416,0.11232,0.103507,9208944.85
1605657600,ADA_USDT,0.109416,0.106475,0.111478,0.102112,1.27E+07
1605744000,ADA_USDT,0.106475,0.105865,0.108106,0.104332,6698060.44
1605830400,ADA_USDT,0.105865,0.118251,0.118932,0.10544,1.03E+07
1605916800,ADA_USDT,0.118251,0.1333,0.134547,0.116271,2.71E+07
1606003200,ADA_USDT,0.1333,0.145902,0.15333,0.120025,5.76E+07
1606089600,ADA_USDT,0.145902,0.154403,0.159017,0.141158,4.29E+07
1606176000,ADA_USDT,0.154403,0.167021,0.182616,0.151674,8.23E+07
1606262400,ADA_USDT,0.167021,0.154804,0.175319,0.147169,6.52E+07
1606348800,ADA_USDT,0.154804,0.138355,0.160627,0.117705,1.27E+08
1606435200,ADA_USDT,0.138355,0.141628,0.145401,0.130662,5.65E+07
1606521600,ADA_USDT,0.141628,0.164823,0.171995,0.138726,4.75E+07
1606608000,ADA_USDT,0.164823,0.166377,0.171169,0.157232,3.43E+07
1606694400,ADA_USDT,0.166377,0.171958,0.173693,0.160237,1.52E+07
1606780800,ADA_USDT,0.171958,0.155534,0.174244,0.143687,1.06E+07
1606867200,ADA_USDT,0.155534,0.158629,0.159741,0.150726,4870352.16
1606953600,ADA_USDT,0.158629,0.164036,0.168198,0.155607,4609064.48
1607040000,ADA_USDT,0.164036,0.147784,0.164505,0.146148,4750496.47
1607126400,ADA_USDT,0.147784,0.15971,0.161831,0.146157,4430861.64
1607212800,ADA_USDT,0.15971,0.158703,0.162633,0.153033,3909532.15
1607299200,ADA_USDT,0.158703,0.154065,0.158917,0.151386,3311351.24
1607385600,ADA_USDT,0.154065,0.141176,0.154963,0.137962,5831540.15
1607472000,ADA_USDT,0.141176,0.14799,0.150015,0.130101,7192384.7
1607558400,ADA_USDT,0.14799,0.141614,0.148503,0.139259,4964790.71
